year,period,periodName,latest,value,footnotes
2024,Q03,3rd Quarter,True,1.9,[{}]
2024,Q02,2nd Quarter,,2.4,"[{'code': 'R', 'text': 'revised'}]"
2024,Q01,1st Quarter,,8.5,"[{'code': 'R', 'text': 'revised'}]"
2023,Q04,4th Quarter,,0.9,"[{'code': 'R', 'text': 'revised'}]"
2023,Q03,3rd Quarter,,1.2,"[{'code': 'R', 'text': 'revised'}]"
2023,Q02,2nd Quarter,,2.6,"[{'code': 'R', 'text': 'revised'}]"
2023,Q01,1st Quarter,,3.5,"[{'code': 'R', 'text': 'revised'}]"
